nivel;confiabilidade;FAIXA_SCORE;OPERACAO;IDENTIFICA_GRUPO_MODELO;CANAL_PCO_AJUSTADO;taxa_conversao_ref;taxa_fpd_ref;n_aprovados;n_convertidos;n_maus;vars_usadas
1;ALTA;R04;MOVEL;G4 - PRE PAGO SEM DIVIDA;DIGITAL;0.8256182083;0.1619338792;46748;38596;6250;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G4 - PRE PAGO SEM DIVIDA;OUTBOUND;0.5962607377;0.2050847458;5937;3540;726;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G4 - PRE PAGO SEM DIVIDA;OUTROS;0.4683433433;0.1213821355;23976;11229;1363;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G4 - PRE PAGO SEM DIVIDA;URA_ATIVACAO;0.1342615614;0.5061728395;6033;810;410;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G5 - CLIENTE COM DIVIDA;CROSSELING;0.3008842981;0.1606569523;26914;8098;1301;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G5 - CLIENTE COM DIVIDA;DIGITAL;0.6040165387;0.1652650108;16930;10226;1690;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G5 - CLIENTE COM DIVIDA;OUTBOUND;0.4471631206;0.2648691515;2820;1261;334;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G5 - CLIENTE COM DIVIDA;OUTROS;0.3726642742;0.1348165366;32324;12046;1624;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G5 - CLIENTE COM DIVIDA;URA_ATIVACAO;0.2313829787;0.3908045977;752;174;68;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R04;MOVEL;G6 - EX CLIENTE COM DIVIDA;CROSSELING;0.3644067797;0.3906976744;590;215;84;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
